Casenum,SeriousDlqin2yrs,RevolvingUtilizationOfUnsecuredLines,DebtRatio,NumberOfOpenCreditLinesAndLoans,NumberOfDependents
112,0,0.31844615,1.382629108,26,0
113,0,0.186987534,0.023993145,4,0
114,0,0.006541851,0.108089191,10,1
115,0,0.180972181,0.384441575,7,3
116,0,0.00750765,7,4,0
117,0,0.06790706,0.149103029,6,0
118,0,0.033461782,1.243362832,5,1
119,0,0.007520592,269,4,0
120,0,0.015271802,0.12290366,6,0
121,0,0.51712072,0.123752495,3,0
122,0,0.317975796,0.297933792,11,0
123,0,0.297594642,0.239507959,13,0
124,0,0.444837661,0.366545247,9,4
125,0,0.277956679,4090,9,0
126,0,0.003722015,0.63332301,5,0
127,0,0,0.2226598,14,0
128,0,0,0.218854341,13,0
129,0,0.151912549,0.266394467,22,0
130,0,0,0.351699622,12,0
131,0,0.175727593,994,4,0
132,0,0.011498563,0.001998002,1,0
133,0,0,0.517468688,7,0
134,0,0.163037489,0.086482558,7,1
135,0,0.047311582,0.100920343,5,0
136,0,0.083880003,0.199647533,8,0
137,0,0.089478348,1.065901518,11,2
138,0,0.773519223,1.129227053,12,1
139,0,0.093962275,0.112051635,6,0
140,0,0.21955042,0.315983758,20,1
141,0,0.147996253,0.323088235,5,0
142,0,0.576518559,3031,11,0
143,0,0.243872021,0.534027778,22,3
144,0,0.362483818,567,4,0
145,0,0.116676791,0.343593791,7,0
146,0,0.9999999,0.43369976,7,4
147,0,0.496911825,0.452363811,11,2
148,0,0.130902106,0.427882174,17,0
149,0,0.54699881,0.748071979,9,3
150,0,0.072277109,0.025911708,2,0
151,0,0,0.370876375,14,5
152,0,0.175932019,0.655812625,9,1
153,0,0.050789842,0.315171207,4,1
154,0,0,0.144616356,7,0
155,0,0.21286031,0.563752087,10,1
156,0,0.012682366,0.412979783,20,0
157,0,0.121557062,0.342971419,23,4
158,0,0.040795358,0.801999355,11,0
159,0,0.147712223,0.034847816,6,3
160,0,0,2,4,NA
161,0,0,0.726566993,5,1
162,0,0.070771911,2088,6,0
163,1,1.046279103,1.104301274,6,1
164,0,0.323719804,0.610841267,9,2
165,0,0.36459777,0.593899089,7,0
166,0,0.637736406,3.382196162,9,0
167,0,0.081379827,1268,8,0
168,0,0.020966389,639.5,3,2
169,0,0.170103002,0.138461538,8,0
170,0,0.771845631,0.852429514,7,0
171,0,0.05538241,0.089091313,4,0
172,0,0.9999999,974,2,0
173,0,0.16653274,0.543625949,11,3
174,0,0.008632035,0.365151154,9,0
175,0,0.13527952,0.342005076,11,2
176,0,0.167571389,0.330733853,10,1
177,0,0.9999999,0.005319149,0,3
178,0,0.068335151,0.010927876,9,0
179,0,0,0.907538526,6,0
180,1,0.946963874,1593,6,1
181,0,0.405183973,0.667835346,22,1
182,0,0.055549313,2177,6,1
183,0,0.676195456,0.436665827,10,0
184,0,0.184986787,3144,11,0
185,1,0.085338293,0.477503628,11,0
186,1,0,0.152896812,3,0
187,1,0.786485406,0.291709578,7,1
188,0,0.0112096,13,3,0
189,0,0.03833451,0.438912218,7,0
190,0,0.714980139,0.47090194,12,3
191,0,0.043032042,0.332016389,14,0
192,0,1.095083357,0.536703799,7,0
193,0,0,2932,11,0
194,0,0.9999999,0.156259612,5,4
195,0,0.101430135,0.016196761,9,0
196,1,0.025892469,74.5,13,2
197,0,0.762158561,0.224465502,5,3
198,0,0.231692268,0.119660709,7,0
199,0,0.114869499,103,6,0
200,0,0.035489848,0.308438695,9,0
201,0,0.045423864,0.181311286,4,0
202,0,0.311954668,0.269281443,12,2
203,0,0.078738916,0.166215372,6,4
204,0,0.137609462,0.429533892,11,0
205,0,0.030173038,0.17386957,8,0
206,0,0.021978375,0.443755624,12,2
207,0,0.443696851,0.024340075,4,0
208,0,0.007506793,1253,8,1
209,0,0.046640328,0.034326669,13,0
210,0,0.292365949,0.420180551,8,0
211,0,0.20808276,2826,14,0
212,0,0.9999999,0.358101135,4,0
213,0,0.013500824,0.183464028,8,2
214,0,0.9999999,0.04965839,1,0
215,1,0.655316473,5223,19,0
216,0,0.9999999,1208,4,0
217,0,0.028113957,0.031349387,12,0
218,0,0.222696207,800,3,2
219,0,0.593985244,0.332698534,4,0
220,0,0.017508178,0.135589153,12,0
221,0,0.611865678,0.04578345,3,0
222,0,0.333060631,0.700153374,15,0
223,0,0.009025178,0.376836435,4,2
224,0,0.260271523,0.296854804,11,0
225,0,0.455950788,0.701766078,19,0
226,0,0.080288098,0.322446259,7,0
227,1,1.953488372,0.153500141,5,2
228,0,0.181557324,0.56071964,7,1
229,0,0.147123525,0.436025621,5,2
230,0,0.025601772,0.262773723,8,0
231,0,0,0.002465931,3,0
232,0,0.196372799,0.537485582,10,0
233,0,0.083945242,0.588073078,6,0
234,0,0.034833091,0.460246187,9,0
235,0,0.787522133,0.353860086,12,1
236,0,0,3730,8,0
237,0,0.125429152,0.476704659,3,0
238,0,0.06037487,0.578676723,17,2
239,0,0.9999999,0,0,NA
240,0,0.295928252,0.283765445,6,1
241,1,0.973339258,0.209961825,11,1
242,0,0.002856735,0.000285687,10,0
243,0,0.877564897,2825,10,0
244,0,0.9999999,0.040493251,0,0
245,0,0.053431552,0.20364404,3,0
246,0,0.732660667,0.14041952,15,0
247,0,0.084220458,0.458551158,26,4
248,0,0.114561798,0.359964004,20,2
249,0,0.012151003,0.008886914,12,0
250,0,0.081310737,0.165566887,4,0
251,0,0.09811305,0.257017809,9,0
252,1,1.048210842,0.151956584,12,0
253,0,0.011883886,0.092913547,8,2
254,0,0.75264947,0.058322869,6,0
255,0,0.112321289,0.266909775,9,5
256,0,0,0,1,0
257,0,0.634327056,0.123125125,7,1
258,0,0.15576324,0.278077082,4,2
259,0,0,0.007988922,9,0
260,0,0.090614887,86,5,0
261,0,0.034645112,0.125189985,4,1
262,0,0.027446383,1612,6,0
263,0,0.412398622,0.037259615,5,0
264,0,0.024670782,392,6,NA
265,0,0.046710961,1.117952819,12,0
266,0,0.976531824,0.264078812,6,2
267,0,0.007982621,0.009691169,11,1
268,0,0.267541336,0.637607437,13,1
269,0,0.019779326,0.267149259,9,0
270,0,0.010402205,0.094140517,6,0
271,0,0.9999999,0.529548989,3,0
272,0,0.029816467,0.175139978,12,1
273,0,0.181713732,0.130453416,17,1
274,0,0.051368557,0.445277361,10,2
275,0,0.29264536,0.205927884,11,3
276,1,0.220823719,0.637749121,5,0
277,0,0.008099838,0.389895596,3,0
278,0,0,0.326383681,4,1
279,0,0.006099797,0.139429485,8,0
280,0,0.909538698,0.595653913,16,1
281,0,0.941072508,0.178184282,9,0
282,0,0.991667222,0.554878049,10,1
283,0,0.691488418,0.272721679,11,1
284,0,0.112855258,0.307576329,6,0
285,0,0.260971034,5439,16,NA
286,0,0.048244493,0.262879153,11,1
287,0,0.9999999,0.092163472,2,0
288,0,0.9999999,0,3,0
289,0,0.074256375,0.347930414,11,3
290,0,0.144878408,0.28446242,9,0
291,0,0.191001932,0.705627706,10,2
292,0,0.219382879,942,9,1
293,0,0.679813777,0.689589756,6,0
294,0,2340,0.339332853,7,2
295,0,0.371875401,0.53628857,9,3
296,0,0.025856408,0.083799311,13,0
297,0,0.547887778,0.24651504,5,0
298,0,0.271668778,0.282830201,14,4
299,0,0.085152475,1005,5,0
300,0,0.897203427,0.787803049,8,0
301,0,0.25889775,0.537441339,3,1
302,0,0,0.03988553,8,0
303,0,0.035940506,0.271186441,10,3
304,0,0.9999999,0.046633911,2,1
305,0,0.465238835,0.391427671,8,0
306,0,0.865423051,0.075848303,1,0
307,0,0.696411671,0.408871921,11,4
308,0,0.544497658,0.166766647,5,0
309,0,0.081238383,0.066830086,14,2
310,0,0.948762809,0.144948404,5,0
311,0,0,0.463610776,10,0
312,0,0.016598893,0.136575616,5,0
313,0,0.063329564,0.329935275,6,3
314,0,0.093638481,0.042836573,10,1
315,0,0,0.184027338,5,5
316,0,0.730271957,0.632794037,10,0
317,0,0.426371142,0.406053995,15,0
318,0,0.948978489,0.043744532,3,1
319,0,0,0,7,1
320,0,1.00264667,0.472542946,8,4
321,0,0.0164781,10,3,0
322,0,0.042606843,3976,13,0
323,0,0.022890604,0.288477299,16,0
324,0,0.283821988,0.750200803,9,0
325,0,0.319779462,1.247340213,12,0
326,0,0.155240525,0.483518065,15,1
327,0,0.013115183,4211,21,2
328,0,0.067259209,0.168340507,3,0
329,0,0.284236153,0.318890815,9,2
330,0,0.727560021,0.712458746,6,1
331,0,0.687779097,0.249471161,15,0
332,0,0.9999999,0,0,0
333,0,0.033708851,0.408706353,9,2
334,0,0,0.193935355,7,0
335,1,0.03719769,0.03975841,11,3
336,0,0,0.388320836,4,1
337,0,0.053589282,0.001534331,4,0
338,0,0.100773109,0.199761673,7,0
339,0,0,1.394967177,11,0
340,0,0.399946674,0.189702574,6,1
341,0,0.052653171,0.572292191,9,4
342,0,0.072318616,0.426412462,8,1
343,0,0.203959597,0.072914726,6,2
344,0,0.9999999,0.090341011,1,0
345,1,0.880370887,0.461323764,6,1
346,0,0.429246267,0.381254316,17,1
347,0,0,773,2,1
348,0,0.049529205,542,15,0
349,0,0.360907571,0.356679286,6,0
350,0,0.335737457,0.45722203,9,1
351,1,0.635720859,0.218071277,27,0
352,0,0,8380,20,0
353,0,0.507972665,0.193935355,10,0
354,0,0.245841666,151,5,0
355,1,0.953343701,2073,5,0
356,0,0.9999999,0.184625639,2,1
357,0,0.118853837,2720,7,2
358,0,0.630073985,0.563328034,3,0
359,0,0.9999999,3388,1,0
360,0,0.028423247,0.033982276,12,0
361,0,0.143427862,0.119463561,9,0
362,0,0.186682782,0.698120752,7,2
363,0,0.496388581,0.170164956,12,1
364,0,0.457526639,0.333583302,16,2
365,0,0.728218119,3878,10,0
366,0,0.947264856,0.467171717,4,0
367,0,0.013916922,0.017655818,7,2
368,0,0.066347297,4480,6,0
369,0,0.502958087,6381,5,0
370,0,1.047495906,0.314566116,8,3
371,0,0.012586354,0.009596162,11,0
372,0,0.543445655,0.267146571,6,3
373,0,0.026580302,1063,7,0
374,0,0.082317351,0.214426305,29,1
375,0,0.292541492,0.164917541,3,0
376,0,0.024240472,0.101514142,20,0
377,0,0.047650102,0.387956894,6,0
378,1,0.739146488,0.285156885,12,1
379,0,0.186890655,0.655589124,7,1
380,0,0.007501937,0.278226307,13,3
381,0,0.522314625,0.290229092,13,3
382,0,0.9999999,130,0,NA
383,0,0.571604587,870,12,NA
384,0,0.903231566,0.13080895,10,0
385,0,0.017043518,0.10821382,6,1
386,0,0.060733396,0.008549573,8,0
387,0,0.000582648,2028,13,1
388,0,0.003894686,876,11,0
389,0,0.250008365,2.086478612,26,0
390,0,0.466334165,0.007495315,3,0
391,0,0.114588541,34,2,0
392,0,0.9999999,0,0,0
393,0,0.267905614,0.285452994,12,0
394,0,0.029694361,0.070513488,7,2
395,0,0.305246317,0.188281635,6,2
396,0,0.000685675,0,4,0
397,0,0.702493864,0.582162622,8,1
398,0,0.742436041,0.414081023,10,0
399,1,0.802417179,668,5,0
400,0,0.9999999,0.113421853,3,2
401,0,0.134191514,926.5,9,0
402,0,0.002556199,0.115826132,17,2
403,0,0.088845558,0.073772011,5,0
404,0,0.203947961,1.206516118,12,2
405,0,0.006666097,0.000268637,5,0
406,0,0.014049649,0.352214765,4,1
407,0,0.9999999,0.092985318,1,3
408,0,0.368866624,0.437996083,18,0
409,0,0.054553316,0.043259135,13,0
410,0,0.179487766,0.492529978,19,0
411,0,0.026885902,0.344879921,6,2
412,0,0.265705207,0.259102536,8,1
413,0,0,2113,13,NA
414,0,0.011847989,1599,12,0
415,0,0.07083751,0.255290785,6,1
416,0,0.030996074,0.131430952,11,0
417,0,0.144914011,0.045366363,5,0
418,0,0.353017659,1.299736021,17,1
419,0,0.020074662,0.334245422,5,0
420,0,0.032769199,724,11,0
421,1,0.733885463,0.369223765,20,2
422,0,0.063514422,2221.5,12,0
423,0,0.03157211,0.644706486,14,1
424,1,0.991502124,1.2979007,11,1
425,0,0.397702982,0.41627543,6,2
426,0,0.971352432,0.035803497,3,0
427,0,0.9999999,1786,3,0
428,0,0,0.386728192,18,0
429,0,0.9999999,0.130140954,6,0
430,0,0.003851709,0.000822143,1,1
431,0,0.010887967,0.725137431,7,0
432,0,0.686083014,0.16069592,6,2
433,0,0.212464485,0.518991188,10,1
434,0,0.006956358,0.003278689,4,0
435,0,0.073251754,0.446688128,9,2
436,0,0.431904058,0.41905226,22,0
437,0,0.006999563,3,2,NA
438,0,0.014310431,13,2,0
439,0,0.026944485,0.686736475,8,0
440,0,0.297094601,0.603763294,9,2
441,0,0.316064767,1348,3,0
442,0,0,862,2,0
443,0,0.922670104,0.207789429,7,0
444,0,0.051077957,0.306409131,9,0
445,0,0.319190816,0.358153388,18,0
446,0,0.008737352,0.209965006,28,0
447,0,0,0.785229953,8,0
448,0,0.243674266,0.179979778,10,6
449,0,0.9999999,0.19170579,3,2
450,0,0,0,1,1
451,0,0.028910707,0.013543599,7,2
452,0,0.03423863,2045,3,0
453,0,0.50329934,0.454057468,5,0
454,0,0.799981673,0.671076012,19,0
455,0,0.069987933,0.114004783,7,0
456,0,0.067901335,0.065493451,5,0
457,0,0.740635161,0.432010059,7,0
458,0,0.023382944,0.00912845,6,0
459,0,0.9999999,0.095584668,1,0
460,0,0.003625197,726,8,NA
461,0,0.092287617,0.229436075,23,2
462,0,0,0.177007047,5,3
463,0,0.9999999,0.257707218,2,1
464,0,0.057867667,0.145685279,13,0
465,0,0.07807727,0.566105156,14,2
466,0,0.201943642,0.394460554,15,3
467,0,0.077958915,0.053530226,19,0
468,0,0.205676486,0.130309575,8,0
469,1,0.9999999,0.006731051,1,3
470,1,0.57985084,0.594224361,8,0
471,0,0.073393457,0.384761524,9,0
472,0,0.079178219,0.176964607,3,0
473,0,0.073123172,0.216405216,9,0
474,0,0.745173448,0.168767792,4,0
475,0,0.10088331,0.280494456,6,2
476,0,0.347665233,0.041583367,1,1
477,0,0.102031508,90,4,0
478,0,0.354125994,0.558762411,4,0
479,0,0.029643294,0.399106478,15,0
480,0,0.540204354,0.034395414,3,0
481,0,0.640927271,0.52409692,17,3
482,0,0.058271403,0.374304267,7,0
483,0,0.719305764,0.186225718,5,0
484,0,0.045017363,0.020763907,8,0
485,0,0.35592819,0.478090767,17,0
486,0,0.57762185,0.4925,14,1
487,0,0.015054291,929,11,2
488,0,0.320593837,1.114622389,14,1
489,0,0.047587303,997,4,NA
490,0,0.173428408,0.086269282,11,0
491,0,0.401789055,0.412779302,11,0
492,0,0.301152442,0.254661625,10,3
493,0,0,0.229139073,5,0
494,0,0.067512585,0.44723563,4,0
495,0,0,0.205971968,4,1
496,0,0.993335555,0.068227425,6,1
497,0,0.138793584,0.384074741,9,0
498,0,0.193584801,0.532754538,13,0
499,0,0.001124859,0.057990335,8,0
500,0,0.485558448,0.09963548,5,0
501,0,0.979521555,0.467850417,11,0
502,0,0.090641506,0.016683267,2,0
503,0,0.38480769,0.533099636,5,3
504,0,0.183676155,0.660528423,9,0
505,0,0.018124667,0.023181455,4,1
506,1,0.9999999,0.228402866,2,0
507,0,0.290320472,0.262848568,7,3
508,0,0.052161271,0.067629397,5,1
509,0,0.9999999,8500,2,0
510,0,0.9999999,0,3,NA
511,0,0.412657703,0.195074372,7,0
512,0,0.091201293,0.568886223,15,0
513,0,0.500234532,0.278025952,10,1
514,1,0.913140498,1.620344914,16,1
515,0,0.056390008,2126,8,0
516,0,0.611388611,0.347066167,4,0
517,0,0.065630892,0.162635688,10,0
518,0,0.499666889,0.450171821,8,0
519,0,0.9999999,7,1,0
520,0,0.289470539,0.4825614,17,1
521,1,0.814154511,0.297139683,8,1
522,0,0.016406971,0.001785714,3,2
523,0,0.078497383,0.207274054,5,3
524,0,0.029692431,0.287187752,19,0
525,0,0.01255887,0.044762033,5,0
526,0,0.062093267,0.230261579,6,4
527,0,0.074201053,1215,4,NA
528,0,0.551889862,0.790613718,18,1
529,1,0.640058527,0.055984556,9,2
530,0,0.581815774,0.724784402,11,0
531,0,0,0,3,0
532,0,0,3819,3,NA
533,0,0.312068793,0.127071823,5,0
534,0,0.266371179,0.498488489,12,2
535,0,0.040186458,0.300839136,8,1
536,0,0.749602291,7963,7,3
537,1,0.955545894,0.524949909,11,1
538,0,0.086635409,887,8,1
539,0,0.212768452,2301,17,0
540,0,0.9543957,0.4842141,10,1
541,0,0.188256123,0.881825173,6,1
542,0,1.245847176,499,4,NA
543,0,0.014049887,0.674399608,9,0
544,0,0.329609837,0.437743191,16,2
545,0,0.484099985,0.423251505,9,2
546,0,0,2,9,0
547,0,0.035113768,87,11,0
548,0,0.084826988,0.53418212,9,0
549,0,0.9999999,0.60616581,6,0
550,0,0.152250785,0.030774358,3,0
551,0,0.2128856,0.351891786,10,0
552,0,0.9999999,0.200843235,5,4
553,0,0.9999999,461,2,0
554,0,0,0,1,1
555,0,0.576284725,0.785404865,10,1
556,0,0.408215982,677,4,2
557,0,0,0,5,0
558,0,0.10680013,0.747375437,8,2
559,0,0.004552998,3,2,0
560,0,0.277436128,0.388566694,8,1
561,0,0.285342534,0.08951092,4,3
562,0,0.162077194,0.024885359,6,2
563,0,0.57073821,1314,5,0
564,0,0.622524722,0.353883732,8,0
565,0,0.113165062,3169,16,3
566,0,0,0.527431421,4,0
567,0,0.732711215,0.338531127,10,0
568,0,0.486651335,0.324741695,10,0
569,0,0.584844623,0.293637575,11,0
570,0,0.875440658,0.437717467,5,1
571,0,0.043861767,0.064119265,7,0
572,0,0.03929607,0.480393478,10,0
573,1,0.339503567,0.549380248,9,0
574,0,0.064835195,0.197624587,10,0
575,0,0.008684579,0.0013269,5,0
576,0,0.9999999,0.138721351,1,0
577,0,0.503587987,1.308922769,16,0
578,0,0.000309046,562,10,NA
579,0,0.697812691,0.236980252,10,1
580,0,0.650432993,0.368063194,10,1
581,0,0.30248201,0.348057208,12,2
582,0,0.9999999,0.185755935,1,0
583,0,0.159116246,0.184123484,6,0
584,0,0.768537191,2568,5,0
585,0,0.155644438,0.336831584,5,0
586,0,0.836294011,0.260170076,8,1
587,0,0.293041811,0.373940678,5,3
588,0,0.9999999,0.098937721,1,4
589,0,0.271898248,556,3,NA
590,0,0,0.238076192,6,0
591,0,0.291956248,1021,5,NA
592,0,0.106531463,0.024303074,9,0
593,0,0.250818316,0.240143984,6,1
594,0,0.181579946,0.3539428,9,1
595,0,0.002964536,0.349026844,14,0
596,0,0.048911121,0.102800764,4,1
597,1,0.517045364,0.572590321,20,0
598,0,0.024100447,0.010791367,6,0
599,0,0.122976319,0.454103343,6,1
600,1,0.387065977,0.350874186,12,1
601,0,0.021741679,0.187762448,11,0
602,0,0.269257489,0.607594937,7,3
603,0,0.996301651,0.306101912,17,1
604,0,0.019153961,0.201025979,6,4
605,0,0.008665511,1.908629442,17,0
606,0,0.155742213,723,13,2
607,0,0.733914381,0.158975542,7,1
608,0,0.210442588,0.513602495,10,1
609,0,0.095634788,0.175266904,4,1
610,0,0.124801376,0.566894457,15,0
611,0,0.016995185,0.002301937,4,0
612,0,0.964038058,0.263516583,6,0
613,0,0.211206477,0.2138395,13,0
614,0,0.184476515,0.444956049,11,0
615,0,0,0.444444444,5,1
616,0,0.086605363,73,2,NA
617,0,0.069069784,1468,3,NA
618,0,0.187090597,0.506873282,10,1
619,0,0.732202177,0.258576628,26,0
620,0,0.392141112,1.383017398,18,2
621,0,0.063688754,0.266876688,8,1
622,0,0.616982372,0.191649336,10,2
623,0,0.288541381,0.571428571,23,0
624,0,0.221106801,0.157212981,5,0
625,0,0.193612774,0.020146833,1,3
626,0,0.014441183,0.145703611,8,0
627,0,0.531963331,0.480082158,19,1
628,0,0.346960384,1.432686655,13,2
629,0,0.024305835,1581,6,0
630,0,0.9999999,2866,2,0
631,0,0,0,2,0
632,0,0.65854007,0.489714904,6,0
633,0,0.104693763,0.297372704,8,1
634,0,0.046740048,0.404799866,13,0
635,0,0.057887851,0.238127698,13,1
636,0,0.883182488,0.183736947,18,2
637,0,0.005326455,79,4,0
638,0,0.088809584,0.295480067,12,0
639,0,0.021319787,0.24496788,13,0
640,0,0.281880372,0.179975176,7,0
641,0,0.063062463,4659,5,0
642,0,0,2719,5,0
643,1,0.402345742,0.337622356,16,3
644,0,0.143316879,4294,16,0
645,0,0.334295645,5368,13,0
646,0,0.010350125,0.258589038,6,1
647,0,0.336596148,0.08037225,2,0
648,0,0.044842922,0.23358954,5,2
649,0,0.007712359,0.156614462,6,0
650,0,1.011332794,10.80049875,8,2
651,0,0.066778859,84,7,NA
652,0,0,0.370418677,4,2
653,0,0,0.62273579,10,1
654,1,0.314685703,0.160317928,13,4
655,1,0.149314411,0.558320373,9,0
656,0,0,0.238212526,9,0
657,0,0.037849716,0.162891787,15,0
658,0,0.281115558,0.162186181,10,1
659,0,0.005196165,1514,9,0
660,0,0.133688867,0.093522183,7,2
661,0,0.321457844,1434,6,0
662,0,0,0.416379181,10,0
663,0,0.827151013,0.219974716,8,1
664,0,0.442798278,2092,11,2
665,0,0.025082109,0.360879707,15,0
666,0,0.578849363,0.367553674,10,1
667,0,0.020703507,0.645104381,6,2
668,1,1.248751249,0.175120326,3,0
669,0,0.9999999,8,2,0
670,0,0.569824212,0.361421689,18,2
671,0,0.914867126,0.517037339,7,1
672,0,0.0382584,0.009831695,12,0
673,0,0.964561473,0.305839582,10,2
674,0,0.02731285,0.325335893,6,0
675,0,0.035605591,0.017260735,7,0
676,0,0.004595129,0.39095856,7,0
677,0,0.042534081,0.009690817,4,1
678,0,0.12136536,3300,5,0
679,0,0.180162143,0.448326668,15,1
680,0,0.054940099,0.662152897,10,2
681,0,0.099724251,0.008908281,3,0
682,0,0.030513202,48,6,0
683,0,0.175434349,0.149077983,9,0
684,0,0.019883105,0.028599606,16,0
685,1,0.990764426,0.361340457,4,1
686,0,0.386084012,0.166452387,17,3
687,0,0.008287427,0.115171335,8,0
688,0,0.058687793,0.335733141,6,2
689,0,0.091106715,0.035418452,5,0
690,0,0.023114333,0.513540291,16,0
691,0,0.083426677,0.037871034,7,2
692,0,0.529411765,0.017052375,1,0
693,0,0.192722211,0.457930642,21,1
694,0,0.9999999,0.177955511,1,0
695,0,0.359412083,3.874422899,22,0
696,0,0.106517279,0.263151915,17,4
697,0,0.07953842,2958,9,2
698,1,2066,0.27112148,8,1
699,0,0.01239876,0.207518671,4,0
700,0,0.9999999,0.00711943,2,2
701,0,0.003938695,0.199949219,11,0
702,0,0.520418652,0.232918082,5,3
703,0,0.160899231,0.182363527,13,0
704,0,0.252505361,0.442592901,13,2
705,0,0.035670256,0.427674963,9,0
706,0,0.046747539,1.012368584,13,0
707,0,0.009639594,0.262440354,5,0
708,0,0.986400389,0.441868921,8,0
709,0,0.092392056,0.190062303,7,0
710,0,0.001019592,0.00019996,10,0
711,0,0,272,6,0
712,0,0.045516721,0.090355422,12,3
713,0,0.245744673,0.585122242,21,3
714,0,0.292159285,605,5,0
715,0,0.9999999,631,1,0
716,0,0.016142473,0.668266347,11,0
717,0,0.759286581,0.408475574,4,1
718,0,0.189734189,0.04587156,2,0
719,0,0.049082484,0.361938937,12,1
720,0,1.163184115,0.319174181,7,0
721,0,0.238016933,0.601017347,5,0
722,0,0.410946459,0.712194056,16,0
723,0,0.476535633,0.312937413,4,0
724,0,0.37504998,0.011195522,4,0
725,0,0.116188171,0.043739065,9,0
